title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;nix;nix;nix;nix;;;;
Between markets and hierarchies: the challenge of governing ecosystem services;R Muradian, L Rival - Ecosystem Services, 2012 - Elsevier;2012;https://www.sciencedirect.com/science/article/pii/S2212041612000149;https://www.sciencedirect.com/science/article/pii/S2212041612000149;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;178;No DOI available;;;;;;;;
An agent-based approach for building complex software systems;NR Jennings - Communications of the ACM, 2001 - eprints.soton.ac.uk;2001;https://eprints.soton.ac.uk/254229/1/cacm01.pdf;https://eprints.soton.ac.uk/254229/1/cacm01.pdf;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;1606;No DOI available;;;;;;;;
From agents to multiagent systems;IJ Timm, T Scholz, O Herzog, KH Krempels… - Multiagent …, 2006 - Springer;2006;https://link.springer.com/chapter/10.1007/3-540-32062-8_3;No PDF available;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;18;No DOI available;;;;;;;;
Modularising Context Dependency and Group Behaviour in Ambient-oriented Programming;J Vallejos - 2011 - Citeseer;2011;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.416.685&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.416.685&rep=rep1&type=pdf;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;5;No DOI available;;;;;;;;
Reforming the reform: changing roles for accounting and management in the Italian health care sector;G Marcon, F Panozzo - European Accounting Review, 1998 - Taylor & Francis;1998;https://www.tandfonline.com/doi/abs/10.1080/096381898336448;https://www.tandfonline.com/doi/pdf/10.1080/096381898336448;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;58;No DOI available;;;;;;;;
Building trust in ad hoc distributed resource-sharing networks using reputation-based systems;G Hatzivasilis, C Manifavas - 2012 16th Panhellenic …, 2012 - ieeexplore.ieee.org;2012;https://ieeexplore.ieee.org/abstract/document/6377428/;https://ieeexplore.ieee.org/iel5/6377153/6377342/06377428.pdf;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;13;No DOI available;;;;;;;;
Can the design of community-driven development reduce the risk of elite capture? Evidence from Indonesia;SA Fritzen - World Development, 2007 - Elsevier;2007;https://www.sciencedirect.com/science/article/pii/S0305750X07000770;https://wagner.nyu.edu/files/faculty/publications/SFritzen_CanTheDesignOfCommunity.pdf;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;166;No DOI available;;;;;;;;
The governance of services;PHM Ruys - 2005 - papers.ssrn.com;2005;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=810324;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.872.4081&rep=rep1&type=pdf;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;;;;;;;;
Infrastructure for Adaptive Workflows in Semantic Grids;L Bocchi, O Krajıcek, M Kuba - Proceedings of the first …, 2005 - eprints.adm.unipi.it;2005;http://eprints.adm.unipi.it/2151/1/TR-05-22.pdf.gz#page=337;http://eprints.adm.unipi.it/2151/1/TR-05-22.pdf.gz#page=337;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;5;No DOI available;;;;;;;;
Co-creation and higher order customer engagement in hospitality and tourism services: a critical review;PK Chathoth, GR Ungson… - International Journal …, 2016 - emeraldinsight.com;2016;https://www.emeraldinsight.com/doi/abs/10.1108/IJCHM-10-2014-0526;http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:84ES9dPA59QJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=17757221706665725737&oi=lle;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;88;No DOI available;;;;;;;;
Evolving ICT and governance in organizational networks-Conceptual and theoretical foundations;E Loukis, M Janssen, S Dawes, L Zheng - Electronic markets, 2016 - Springer;2016;https://link.springer.com/article/10.1007/s12525-015-0210-1;https://link.springer.com/article/10.1007/s12525-015-0210-1;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;10;No DOI available;;;;;;;;
Architecting self-aware software systems;F Faniyi, PR Lewis, R Bahsoon… - 2014 IEEE/IFIP …, 2014 - ieeexplore.ieee.org;2014;https://ieeexplore.ieee.org/abstract/document/6827105/;https://research.aston.ac.uk/portal/files/12328469/WICSA_final.pdf;context-dependent+AND+decentralized+service+composition+AND+behaviou_GoogleScholar.csv;GoogleScholar;1;37;No DOI available;;;;;;;;
Analyzing inter-application communication in Android;E Chin, AP Felt, K Greenwood, D Wagner - … , applications, and services, 2011 - dl.acm.org;2011;https://dl.acm.org/citation.cfm?id=2000018;https://people.eecs.berkeley.edu/~daw/papers/intents-mobisys11.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;975;No DOI available;;;;;;;;
An Adaptive Active Rule System for Automatic Service Discovery and Cooperation.;S Kurabayashi, Y Kiyoki - Databases and Applications, 2006 - actapress.com;2006;https://www.actapress.com/PDFViewer.aspx?paperId=23257;No PDF available;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;;;;;;;;
Security  privacy and trust in Internet of Things: The road ahead;S Sicari, A Rizzardi, LA Grieco, A Coen-Porisini - Computer networks, 2015 - Elsevier;2015;https://www.sciencedirect.com/science/article/pii/S1389128614003971;http://tarjomefa.com/wp-content/uploads/2016/07/5009-English.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;800;No DOI available;;;;;;;;
Practical guidance for scaling up health service innovations;World Health Organization - 2009 - apps.who.int;2009;https://apps.who.int/iris/bitstream/handle/10665/44180/9789241598521_eng.pdf;https://apps.who.int/iris/bitstream/handle/10665/44180/9789241598521_eng.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;50;No DOI available;;;;;;;;
High quality P2P service provisioning via decentralized trust management;HL Vu - 2010 - infoscience.epfl.ch;2010;https://infoscience.epfl.ch/record/147981;https://infoscience.epfl.ch/record/147981/files/EPFL_TH4711.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;3;No DOI available;;;;;;;;
Self-integrating organic control systems: from crayfish to smart homes;A Diaconescu, P Mata, K Bellman - ARCS Workshop 2018 …, 2018 - ieeexplore.ieee.org;2018;https://ieeexplore.ieee.org/abstract/document/8385429/;https://ieeexplore.ieee.org/iel7/8385231/8385232/08385429.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
A semantic infrastructure for personalisable context-aware environments;S Scerri, J Debattista, J Attard, I Rivera - AI magazine, 2015 - aaai.org;2015;https://www.aaai.org/ojs/index.php/aimagazine/article/view/2586;https://www.aaai.org/ojs/index.php/aimagazine/article/view/2586/2480;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;2;No DOI available;;;;;;;;
Big ideas paper: Policy-driven middleware for a legally-compliant Internet of Things;J Singh, T Pasquier, J Bacon, J Powles… - Proceedings of the 17th …, 2016 - dl.acm.org;2016;https://dl.acm.org/citation.cfm?id=2988349;https://dash.harvard.edu/bitstream/handle/1/35350397/mw-2016.pdf?sequence=1;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;19;No DOI available;;;;;;;;
Towards customer-induced service orchestration-requirements for the next step of customer orientation;R Alt, JF Ehmke, R Haux, T Henke, DC Mattfeld… - Electronic Markets, 2019 - Springer;2019;https://link.springer.com/article/10.1007/s12525-019-00340-3;https://link.springer.com/article/10.1007/s12525-019-00340-3;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;;;;;;;;
The digital government imperative: a context-aware perspective;W Castelnovo, M Sorrentino - Public Management Review, 2018 - Taylor & Francis;2018;https://www.tandfonline.com/doi/abs/10.1080/14719037.2017.1305693;https://www.researchgate.net/profile/Walter_Castelnovo/publication/315718944_The_digital_government_imperative_a_context_aware_perspective/links/5a97a19ca6fdccecff0b3021/The-digital-government-imperative-a-context-aware-perspective.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;3;No DOI available;;;;;;;;
Broadband multimedia applications using ATM networks: high-performance computing  high-capacity storage  and high-speed communication;H Armbruster, K Wimmer - IEEE Journal on Selected Areas in …, 1992 - ieeexplore.ieee.org;1992;https://ieeexplore.ieee.org/abstract/document/184868/;https://ieeexplore.ieee.org/iel1/49/4737/00184868.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;63;No DOI available;;;;;;;;
Implementing collective obligations in human-agent teams using KAoS policies;J Van Diggelen, JM Bradshaw, M Johnson… - … , Institutions, and Norms …, 2009 - Springer;2009;https://link.springer.com/chapter/10.1007/978-3-642-14962-7_3;https://pdfs.semanticscholar.org/15bd/8901eda081c7a848a96964f812001edd7c61.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;23;No DOI available;;;;;;;;
health@ net—A Case Study from Healthcare;T Schabetsberger, R Mair, F Wozak, B Katt… - … Engineering for Service …, 2009 - Springer;2009;https://link.springer.com/chapter/10.1007/978-3-540-79539-1_12;No PDF available;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
Design of a context privacy service for mobile collaboration;V Sacramento, M Endler… - SBRC'2005: Proc. do …, 2005 - www-di.inf.puc-rio.br;2005;http://www-di.inf.puc-rio.br/~endler/paperlinks/sbrc05.pdf;http://www-di.inf.puc-rio.br/~endler/paperlinks/sbrc05.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
Using PDAs in meetings: patterns  architecture and components ;G Zurita, P Antunes, L Carriço, F Baytelman… - Journal of Universal …, 2008 - jucs.org;2008;http://jucs.org/jucs_14_1/using_pdas_in_meetings/jucs_14_1_0123_0147_zurita.pdf;http://homepages.di.fc.ul.pt/~lmc/research/pdfs/2008jucs-pdameetings-zurita.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;17;No DOI available;;;;;;;;
Challenges and opportunities in applying semantics to improve access control in the field of internet of things;R Stojanov, V Zdraveski, D Trajanov - ELECTRONICS, 2018 - doisrpska.nub.rs;2018;http://doisrpska.nub.rs/index.php/electronics/article/view/4865;http://doisrpska.nub.rs/index.php/electronics/article/download/4865/4658;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;;;;;;;;
Resilience of stateful IoT applications in a dynamic fog environment;U Ozeer, X Etchevers, L Letondeur… - … and Services, 2018 - dl.acm.org;2018;https://dl.acm.org/citation.cfm?id=3287007;https://hal.archives-ouvertes.fr/hal-01927286/document;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;;;;;;;;
The innovation process as a complex structure with multilevel rules;MFP Dias, EA Pedrozo, TN da Silva - Journal of Evolutionary Economics, 2014 - Springer;2014;https://link.springer.com/article/10.1007/s00191-014-0384-2;https://link.springer.com/article/10.1007/s00191-014-0384-2;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;14;No DOI available;;;;;;;;
Adaptive semantic middleware for mobile environments;A Corradi, R Montanari, A Toninelli - Journal of networks, 2007 - pdfs.semanticscholar.org;2007;https://pdfs.semanticscholar.org/c04b/51d93b54d394ae365c0e2f00c5c2f0f62a09.pdf;https://pdfs.semanticscholar.org/c04b/51d93b54d394ae365c0e2f00c5c2f0f62a09.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;9;No DOI available;;;;;;;;
CONTEXT-AWARE COORDINATION IN THE SENSORS'CONTINUUM;N Bicocchi, G Castelli, A Rosi… - UBIQUITOUS …, 2008 - agentgroup.ing.unimo.it;2008;http://www.agentgroup.ing.unimo.it/Zambonelli/PDF/UBICC.pdf;http://www.agentgroup.ing.unimo.it/Zambonelli/PDF/UBICC.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
Distributed Immersive Participation as Crowd-Sensing in Culture Events;T Kanter, R Rahmani, J Walters… - Journal For Virtual …, 2014 - jvwr-ojs-utexas.tdl.org;2014;https://jvwr-ojs-utexas.tdl.org/jvwr/index.php/jvwr/article/view/7083;https://jvwr-ojs-utexas.tdl.org/jvwr/index.php/jvwr/article/viewFile/7083/6344;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
The practice of evaluation as an evaluation of practices;S Ivaldi, G Scaratti, G Nuti - Evaluation, 2015 - journals.sagepub.com;2015;https://journals.sagepub.com/doi/abs/10.1177/1356389015606538;https://journals.sagepub.com/doi/pdf/10.1177/1356389015606538;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;;;;;;;;
Brain Meets Brawn: Why Grid and Agents Need Each Other1;P Ritrovato - … Grid: Advances in Human Learning Services, 2005 - books.google.com;2005;https://books.google.de/books?hl=de&lr=&id=0vPrBV3eeFYC&oi=fnd&pg=PA28&dq=context-dependent+AND+decentralized+service+composition+AND+reconfig*&ots=Bt_AP2eORP&sig=eE-prztZ9oOEsszJVfp8iTkITc8;No PDF available;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;;;;;;;;
Method and system for presenting customized advertising to a user on the world wide web;SL LeMole, SH Nurenberg, JT O'neil… - US Patent …, 1999 - Google Patents;1999;https://patents.google.com/patent/US6009410A/en;No PDF available;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;1437;No DOI available;;;;;;;;
Reducing security overhead to enhance service delivery in Jini IoT;SK Kim, BG Kim, BJ Min - International Journal of Distributed …, 2015 - journals.sagepub.com;2015;https://journals.sagepub.com/doi/abs/10.1155/2015/205793;https://journals.sagepub.com/doi/pdf/10.1155/2015/205793;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;;;;;;;;
Analyzing IT flexibility to enable dynamic capabilities;MH Danesh, E Yu - International Conference on Advanced Information …, 2015 - Springer;2015;https://link.springer.com/chapter/10.1007/978-3-319-19243-7_5;No PDF available;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;16;No DOI available;;;;;;;;
COAST Services: Achieving Service Customization and Policy-Based Differential Access in Personal Information Systems;A Baquero Merino - 2014 - escholarship.org;2014;https://escholarship.org/uc/item/9h97w18p;https://cloudfront.escholarship.org/dist/prd/content/qt9h97w18p/qt9h97w18p.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
Context-Oriented Component-based Software Development;B Magableh - 2012 - academia.edu;2012;http://www.academia.edu/download/30716552/cosd.pdf;http://www.academia.edu/download/30716552/cosd.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
Towards trustworthy smart cyber-physical-social systems in the era of internet of things;J Huang, MD Seck, A Gheorghe - 2016 11th System of Systems …, 2016 - ieeexplore.ieee.org;2016;https://ieeexplore.ieee.org/abstract/document/7542961/;https://ieeexplore.ieee.org/iel7/7533679/7542882/07542961.pdf;context-dependent+AND+decentralized+service+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;10;No DOI available;;;;;;;;
Architecture for evaluating web service QoS parameters using agents;M Thirumaran, P Dhavachelvan… - International …, 2010 - pdfs.semanticscholar.org;2010;https://pdfs.semanticscholar.org/2c02/6b5dc4a7d8bf497f5526915ebad3640f4111.pdf;https://pdfs.semanticscholar.org/2c02/6b5dc4a7d8bf497f5526915ebad3640f4111.pdf;context-dependent+AND+decentralized+service+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;14;No DOI available;;;;;;;;
The pudding of trust;S Staab, B Bhargava, L Leszek… - IEEE Intelligent …, 2004 - espace.curtin.edu.au;2004;https://espace.curtin.edu.au/handle/20.500.11937/36145;https://espace.curtin.edu.au/bitstream/handle/20.500.11937/36145/20377_downloaded_stream_365.pdf?sequence=2&isAllowed=y;context-dependent+AND+decentralized+service+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;91;No DOI available;;;;;;;;
Web service configuration under multiple quality-of-service attributes;PC Xiong, YS Fan, MC Zhou - IEEE Transactions on Automation …, 2009 - researchgate.net;2009;https://www.researchgate.net/profile/Mengchu_Zhou/publication/220590452_Web_Service_Configuration_Under_Multiple_Quality-of-Service_Attributes/links/02e7e51c9bf59d9f20000000.pdf;https://www.researchgate.net/profile/Mengchu_Zhou/publication/220590452_Web_Service_Configuration_Under_Multiple_Quality-of-Service_Attributes/links/02e7e51c9bf59d9f20000000.pdf;context-dependent+AND+decentralized+service+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;89;No DOI available;;;;;;;;
Energy-aware composition for wireless sensor networks as a service;Z Zhou, D Zhao, L Liu, PCK Hung - Future Generation Computer Systems, 2018 - Elsevier;2018;https://www.sciencedirect.com/science/article/pii/S0167739X17303266;http://www.cybermatics.org/CF2018/Keynotes/180626%20FGCS.pdf;context-dependent+AND+decentralized+service+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;11;No DOI available;;;;;;;;
LotusNet: Tunable privacy for distributed online social network services;LM Aiello, G Ruffo - Computer Communications, 2012 - Elsevier;2012;https://www.sciencedirect.com/science/article/pii/S0140366410005037;http://www.lajello.com/papers/comcom11-preprint.pdf;context-dependent+AND+decentralized+service+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;101;No DOI available;;;;;;;;
Toward a sustaining production theory;SU O'Hara - Ecological Economics, 1997 - Elsevier;1997;https://www.sciencedirect.com/science/article/pii/S0921800996000249;http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:aPv62tMeSYwJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=6745747267405746807&oi=lle;context-dependent+AND+decentralized+service+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;72;No DOI available;;;;;;;;
